ID,Restaurant,Address,Time,Price,District,Lowest_price,Highest_price,Average_price
1014,BÉ - BỘT CHIÊN - Đường Số 10,"132 Đường Số 10, Cư Xá Rada Phú Lâm, P. 13, Quận 6, TP. HCM",00:00 - 00:00,4.000 - 15.000,Quận 6,4000,15000,9500.0
1015,Cháo Ếch Hỏa Diệm Sơn - Kinh Dương Vương,"207/34 Kinh Dương Vương, P. 12, Quận 6, TP. HCM",00:00 - 00:00,0 - 0,Quận 6,0,0,0.0
1016,Sữa Chua Trân Châu Hạ Long - Hậu Giang,"190 Hậu Giang, Quận 6, TP. HCM",00:00 - 00:00,20.000 - 35.000,Quận 6,20000,35000,27500.0
1017,Há Cảo Cửu Vị - Ngọc Thanh Dim Sum - Tân Hoà Đông,"30B Tân Hoà Đông, P. 14, Quận 6, TP. HCM",00:00 - 00:00,4.000 - 15.000,Quận 6,4000,15000,9500.0
1018,TOUS les JOURS - Hậu Giang,"231 Hậu Giang, P. 5, Quận 6, TP. HCM",08:30 - 21:00,15.000 - 600.000,Quận 6,15000,600000,307500.0
1019,Quán Hai Mập - Cơm Gà Da Giòn & Hủ Tiếu Mì Xào,"191 Phạm Phú Thứ, P. 4, Quận 6, TP. HCM",00:00 - 00:00,15.000 - 200.000,Quận 6,15000,200000,107500.0
1020,Sushi Minh - Giao Hàng Tận Nơi - Hậu Giang,"13 Hậu Giang, P. 2, Quận 6, TP. HCM",00:00 - 00:00,15.000 - 200.000,Quận 6,15000,200000,107500.0
1021,Cháo Ếch Singapore - Tân Hòa Đông,"145 Tân Hòa Đông, Quận 6, TP. HCM",00:00 - 00:00,36.000 - 36.000,Quận 6,36000,36000,36000.0
1022,Bi Béo - Bò Kho & Bún Bò,"995/17 Hồng Bàng, P. 12, Quận 6, TP. HCM",05:30 - 23:00,5.000 - 59.000,Quận 6,5000,59000,32000.0
1023,Phở 41 - Lò Gốm,"541 Lò Gốm, P. 9, Quận 6, TP. HCM",06:30 - 12:00 | 16:30 - 21:00,32.000 - 42.000,Quận 6,32000,42000,37000.0
1024,Ốc 219C,"219C Lê Quang Sung, P. 6, Quận 6, TP. HCM",00:00 - 00:00,20.000 - 30.000,Quận 6,20000,30000,25000.0
1025,Bún Thái D25 Quán,"E30 Cư Xá Phú Lâm B, P. 13, Quận 6, TP. HCM",00:00 - 00:00,30.000 - 30.000,Quận 6,30000,30000,30000.0
1026,Gà Hấp Muối & Gà Ủ Muối - Thiên Ân Quán,"47 Lô E - Lý Chiêu Hoàng, P. 10, Quận 6, TP. HCM",00:00 - 23:59,0 - 0,Quận 6,0,0,0.0
1027,Neca Fresh Yogurt - Nguyễn Phạm Tuân,"47/2 Nguyễn Phạm Tuân, P. 9, Quận 6, TP. HCM",00:00 - 00:00,25.000 - 38.000,Quận 6,25000,38000,31500.0
1028,Bánh Kem Tuấn Tú,"455 An Dương Vương, P. 11, Quận 6, TP. HCM",06:00 - 22:00,10.000 - 500.000,Quận 6,10000,500000,255000.0
