ID,Restaurant,Address,Time,Price,District,Lowest_price,Highest_price,Average_price
1,Gà Rán & Burger McDonald's Đa Kao,"2 - 6 Bis Điện Biên Phủ, Quận 1, TP. HCM",00:00 - 23:59,50.000 - 200.000,Quận 1,50000,200000,125000.0
2,Cháo Trắng - Cháo Thịt Bằm BK House - Phạm Viết Chánh,"112B Phạm Viết Chánh, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",00:00 - 23:59,5.000 - 40.000,Quận 1,5000,40000,22500.0
3,Texas Chicken - Nguyễn Thái Học,"115 Nguyễn Thái Học , Quận 1, TP. HCM",00:00 - 00:00,30.000 - 300.000,Quận 1,30000,300000,165000.0
4,Bếp Chay 365,"Tầng 1, 35 Nguyễn Văn Tráng, P. Bến Thành, Quận 1, TP. HCM",00:00 - 00:00,15.000 - 50.000,Quận 1,15000,50000,32500.0
5,Bánh Canh Cua Linh,"80A Điện Biên Phủ, P. Đa Kao, Quận 1, TP. HCM",06:20 - 22:00,25.000 - 35.000,Quận 1,25000,35000,30000.0
6,Bún Đậu Mạc Văn Khoa - Trần Quang Khải,"90 Trần Quang Khải, P. Tân Định, Quận 1, TP. HCM",00:00 - 00:00,45.000 - 140.000,Quận 1,45000,140000,92500.0
7,Bún Riêu Cua Ốc Phang Rang Ninh Thuận - Nguyễn Thái Bình,"66 Nguyễn Thái Bình, P. Nguyễn Thái Bình, Quận 1, TP. HCM",06:30 - 21:30,35.000 - 55.000,Quận 1,35000,55000,45000.0
8,Há Cảo Đặc Biệt Nhà Thờ Đức Bà,"86 Nguyễn Du, Quận 1, TP. HCM",00:00 - 00:00,5.000 - 20.000,Quận 1,5000,20000,12500.0
9,Gà Rán KFC - Nguyễn Văn Giai,"2 Nguyễn Huy Tự, P. Đa Kao, Quận 1, TP. HCM",00:00 - 00:00,30.000 - 88.000,Quận 1,30000,88000,59000.0
10,Hey Pelo - Original French Tacos - Trần Khắc Chân,"Số 60 Trần Khắc Chân, P.Tân Định, Quận 1, TP. HCM",00:00 - 00:00,30.000 - 110.000,Quận 1,30000,110000,70000.0
11,"Home Mì - Mì Ý, Salad & Gà Chiên - Shop Online","65A Cách Mạng Tháng 8, P. Bến Thành, Quận 1, TP. HCM",00:00 - 00:00,27.000 - 100.000,Quận 1,27000,100000,63500.0
12,Chè Ngon Cô Ba - Cô Giang,"176 Cô Giang, P. Cô Giang, Quận 1, TP. HCM",00:00 - 00:00,15.000 - 100.000,Quận 1,15000,100000,57500.0
13,Geylang By Night - Cháo Ếch Singapore & Món Xào,"25 Cô Bắc, P. Cầu Ông Lãnh, Quận 1, TP. HCM",00:00 - 00:00,10.000 - 100.000,Quận 1,10000,100000,55000.0
14,Hẻm Fast Food - Món Hàn Quốc - Nguyễn Cư Trinh,"75 Nguyễn Cư Trinh, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",00:00 - 00:00,10.000 - 100.000,Quận 1,10000,100000,55000.0
15,HỦ TÍU NAM VANG DÌ SƯƠNG,"60 Tôn Thất Đạm, P. Bến Nghé, Quận 1, TP. HCM",00:00 - 00:00,10.000 - 100.000,Quận 1,10000,100000,55000.0
16,Quán Nem - Nem Cua Biển & Bún Chả - Nguyễn Thị Minh Khai,"15E Nguyễn Thị Minh Khai, P. Bến Nghé, Quận 1, TP. HCM",00:00 - 00:00,20.000 - 60.000,Quận 1,20000,60000,40000.0
17,Marukame Udon - Udon & Tempura - Hai Bà Trưng,"342 - 344 Hai Bà Trưng, P. Tân Định, Quận 1, TP. HCM",00:00 - 00:00,60.000 - 300.000,Quận 1,60000,300000,180000.0
18,Xôi Gà Tân Định 310 - Hai Bà Trưng,"297 Hai Bà Trưng, P. Tân Định, Quận 1, TP. HCM",00:00 - 00:00,15.000 - 25.000,Quận 1,15000,25000,20000.0
19,Bò Bía Lý,"120E Đinh Tiên Hoàng, P. Đa Kao, Quận 1, TP. HCM",00:00 - 00:00,5.000 - 5.000,Quận 1,5000,5000,5000.0
20,Nem Nướng D'ran - Since 1968 - Nguyễn Thị Minh Khai,"17/7B Nguyễn Thị Minh Khai, P. Bến Nghé, Quận 1, TP. HCM",00:00 - 00:00,40.000 - 70.000,Quận 1,40000,70000,55000.0
21,Cu Sữa - Hot Dog,"59 Nguyễn Du, P. Bến Nghé, Quận 1, TP. HCM",00:00 - 00:00,10.000 - 20.000,Quận 1,10000,20000,15000.0
22,Bánh Mì Chim Chạy - Nguyễn Thị Minh Khai,"147D Nguyễn Thị Minh Khai, P. Phạm Ngũ Lão, Quận 1, TP. HCM",06:00 - 20:00,15.000 - 30.000,Quận 1,15000,30000,22500.0
23,Marukame Udon - Udon & Tempura - Lý Tự Trọng,"215 Lý Tự Trọng, P. Bến Thành, Quận 1, TP. HCM",00:00 - 00:00,60.000 - 300.000,Quận 1,60000,300000,180000.0
24,Kem Bơ - Trái Cây Tô 251 - Nguyễn Thị Minh Khai,"18A Nguyễn Thị Minh Khai, P. Đa Kao, Quận 1, TP. HCM",00:00 - 00:00,10.000 - 25.000,Quận 1,10000,25000,17500.0
25,LALA Salad - Healthy Food - Nguyễn Cảnh Chân,"TK33/23 Nguyễn Cảnh Chân, P. Cầu Kho, Quận 1, TP. HCM",00:00 - 00:00,25.000 - 200.000,Quận 1,25000,200000,112500.0
26,Chè Khúc Bạch Thanh - Trần Quang Khải,"68/210 Trần Quang Khải, P. Tân Định, Quận 1, TP. HCM",00:00 - 00:00,20.000 - 33.000,Quận 1,20000,33000,26500.0
27,Phú Bến Tre - Hủ Tiếu Mực & Bún Thái Hải Sản,"2Bis Mai Thị Lựu, P. Dakao, Quận 1, TP. HCM",06:30 - 21:00,30.000 - 50.000,Quận 1,30000,50000,40000.0
28,"Chú Phúc - Mì Xào, Nui Xào & Cơm Chiên","Hẻm Công Viên 173 Hoàng Sa, P. Tân Định, Quận 1, TP. HCM, Quận 1, TP. HCM",00:00 - 00:00,35.000 - 50.000,Quận 1,35000,50000,42500.0
29,Hà La Cà - Bánh Mì Bình Định & Bánh Cuốn Tây Sơn - Huỳnh Khương Ninh,"20 Huỳnh Khương Ninh, P. Đa Kao, Quận 1, TP. HCM",00:00 - 00:00,0 - 0,Quận 1,0,0,0.0
30,Con Gà Mái - Cơm Gà Phú Yên - Trần Cao Vân,"21A Trần Cao Vân, P. Đa Kao, Quận 1, TP. HCM",00:00 - 00:00,10.000 - 280.000,Quận 1,10000,280000,145000.0
31,Xôi Chè Bùi Thị Xuân - Bùi Thị Xuân,"111 Bùi Thị Xuân, P. Phạm Ngũ Lão , Quận 1, TP. HCM",00:00 - 00:00,25.000 - 55.000,Quận 1,25000,55000,40000.0
32,Gà Ta Xứ Quảng - Nguyễn Văn Cừ,"116 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",00:00 - 00:00,10.000 - 300.000,Quận 1,10000,300000,155000.0
33,"Bánh Bao, Há Cảo & Xíu Mại - Cô Giang","61/30 Cô Giang, P. Cầu Ông Lãnh, Quận 1, TP. HCM",00:00 - 00:00,6.000 - 50.000,Quận 1,6000,50000,28000.0
34,Hủ Tiếu Mực Ông Già - Tôn Thất Thiệp,"62/3 Tôn Thất Thiệp, P. Bến Nghé, Quận 1, TP. HCM",06:00 - 21:00,30.000 - 50.000,Quận 1,30000,50000,40000.0
35,Cơm Gà Xối Mỡ 149 - Cơm Gà Mắm Tỏi,"149 Trần Quang Khải, P. Tân Định, Quận 1, TP. HCM",00:00 - 00:00,40.000 - 65.000,Quận 1,40000,65000,52500.0
36,Gỏi Cuốn & Bò Bía - Bùi Viện,"148/18 Bùi Viện, P. Phạm Ngũ Lão, Quận 1, TP. HCM",00:00 - 00:00,6.000 - 150.000,Quận 1,6000,150000,78000.0
37,Cháo Sườn Cô Dung,"52 Nguyễn Hữu Cầu, P. Tân Định, Quận 1, TP. HCM",07:00 - 11:00 | 16:30 - 21:00,15.000 - 30.000,Quận 1,15000,30000,22500.0
38,Bánh Bò Thốt Nốt COCOCake - Lò Bánh Minh Khai,"18A/29 Nguyễn Thị Minh Khai, P. Đa Kao, Quận 1, TP. HCM",00:00 - 00:00,95.000 - 150.000,Quận 1,95000,150000,122500.0
39,Wow Chicken - Gà Rán & Cơm Gà - Sương Nguyệt Ánh,"1A Ter Sương Nguyệt Ánh, P. Bến Thành, Quận 1, TP. HCM",00:00 - 00:00,5.000 - 100.000,Quận 1,5000,100000,52500.0
40,Quán Giá Hẹ - Cơm Sườn & Hủ Tiếu,"269 Đề Thám, P. Phạm Ngũ Lão, Quận 1, TP. HCM",00:00 - 00:00,30.000 - 45.000,Quận 1,30000,45000,37500.0
41,Bún Chả Phố Hàng Quạt,"271 Nguyễn Trãi, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",06:15 - 22:00,8.000 - 42.000,Quận 1,8000,42000,25000.0
42,Bánh Mì Chả Cá - Bùi Thị Xuân - Chi Nhánh 1,"77G Bùi Thị Xuân, P. Phạm Ngũ Lão, Quận 1, TP. HCM",06:00 - 22:00,10.000 - 12.000,Quận 1,10000,12000,11000.0
43,Bún Chả Bà Bính - Nguyễn Trung Ngạn,"5/4 Nguyễn Trung Ngạn, P. Bến Nghé, Quận 1, TP. HCM",07:00 - 21:00,50.000 - 60.000,Quận 1,50000,60000,55000.0
44,Vũ Trụ Mì Trộn - Nguyẽn Văn Giai,"34 Nguyễn Văn Giai, P. Đa Kao, Quận 1, TP. HCM",00:00 - 00:00,29.000 - 65.000,Quận 1,29000,65000,47000.0
45,Cơm Văn Phòng Tuấn Kiệt - 25Bis Cô Giang,"25Bis Cô Giang, P. Cầu Ông Lãnh, Quận 1, TP. HCM",00:00 - 00:00,0 - 0,Quận 1,0,0,0.0
46,Quán Ăn Huế O Xuân,"22 Nguyễn Hữu Cầu, P. Tân Định, Quận 1, TP. HCM",00:00 - 00:00,15.000 - 44.000,Quận 1,15000,44000,29500.0
47,Bà Xã Vegan - Nhà Hàng Chay - Pasteur,"178/4 Pasteur, P. Bến Nghé, Quận 1, TP. HCM",00:00 - 00:00,40.000 - 100.000,Quận 1,40000,100000,70000.0
48,Há Cảo Ngọc Lan - Trần Đình Xu,"35/11A Trần Đình Xu, Quận 1, TP. HCM",07:00 - 12:30 | 14:10 - 20:10,7.000 - 20.000,Quận 1,7000,20000,13500.0
49,Bánh Mì Grandma Lu - Cô Bắc,"41 Cô Bắc, P. Cầu Ông Lãnh, Quận 1, TP. HCM",06:30 - 21:00,20.000 - 50.000,Quận 1,20000,50000,35000.0
50,Lộc Ký - Mì Vịt Tiềm - 86 Đề Thám,"86 Đề Thám, P. Cầu Ông Lãnh, Quận 1, TP. HCM",00:00 - 00:00,0 - 0,Quận 1,0,0,0.0
51,Nem Nướng D'ran Since 1968 - Healthy & Fresh - Nguyễn Trãi,"212B/D13 Nguyễn Trãi, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",00:00 - 00:00,40.000 - 70.000,Quận 1,40000,70000,55000.0
52,Pao Bến Thành - Phó Đức Chính,"84 Phó Đức Chính, P. Nguyễn Thái Bình, Quận 1, TP. HCM",00:00 - 00:00,5.000 - 50.000,Quận 1,5000,50000,27500.0
53,A Tài - Bún Thịt Nướng - Nguyễn Văn Thủ,"152 Đường Nguyễn Văn Thủ, P. Đa Kao, Quận 1, TP. HCM",06:00 - 22:00,20.000 - 30.000,Quận 1,20000,30000,25000.0
54,Mì Ý A Hoài Spaghetti - Không Chi Nhánh - 55/3B Trần Đình Xu Quận 1,"55/3B Trần Đình Xu, P. Cầu Kho, Quận 1, TP. HCM",00:00 - 00:00,35.000 - 215.000,Quận 1,35000,215000,125000.0
55,Daiichi - Ramen & Curry - Thái Văn Lung,"8A/2B2 Thái Văn Lung, P. Bến Nghé, Quận 1, TP. HCM",00:00 - 00:00,10.000 - 180.000,Quận 1,10000,180000,95000.0
56,Dimsum Homemade - Há Cảo Đặc Biệt - Trần Khắc Chân,"77 Trần Khắc Chân, Quận 1, TP. HCM",00:00 - 00:00,30.000 - 30.000,Quận 1,30000,30000,30000.0
57,Phở Thìn By Sol - Hải Triều,"27 Hải Triều, P. Bến Nghé, Quận 1, TP. HCM",00:00 - 00:00,20.000 - 500.000,Quận 1,20000,500000,260000.0
58,Fua Chảy Tiêm - Bún Gạo Singapore & Pad Thái - Hoàng Sa,"127 Hoàng Sa, P. Tân Định, Quận 1, TP. HCM",00:00 - 00:00,15.000 - 60.000,Quận 1,15000,60000,37500.0
59,Bánh Mì Bảy Hổ,"19 Huỳnh Khương Ninh, P. Đa Kao, Quận 1, TP. HCM",05:15 - 20:15,10.000 - 20.000,Quận 1,10000,20000,15000.0
60,Clover Korean House Food,"2/2 Phan Liêm, P. Đa Kao, Quận 1, TP. HCM",00:00 - 00:00,20.000 - 61.000,Quận 1,20000,61000,40500.0
61,BEAR KHOAI - Khoai Tây Chiên Gà Chiên Sốt Nhiều Vị - Trần Khắc Chân,"89 Trần Khắc Chân, P. Tân Định, Quận 1, TP. HCM",00:00 - 00:00,0 - 0,Quận 1,0,0,0.0
62,Vạn Quán - Lẩu Gà Lá É - Cô Giang,"45 Cô Giang, P. Cầu Ông Lãnh, Quận 1, TP. HCM",00:00 - 00:00,30.000 - 300.000,Quận 1,30000,300000,165000.0
63,Bún Bò Huế Nam Giao - Đề Thám,"242 Đề Thám, P. Phạm Ngũ Lão, Quận 1, TP. HCM",07:00 - 23:00,25.000 - 55.000,Quận 1,25000,55000,40000.0
64,Ốc Bắc Mình Ơi Q1 - Hồ Hảo Hớn,"62A Hồ Hảo Hớn, P. Cô Giang, Quận 1, TP. HCM",00:00 - 00:00,20.000 - 90.000,Quận 1,20000,90000,55000.0
65,Thế Giới Tàu Hũ - Trần Đình Xu,"122D Trần Đình Xu, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",00:00 - 00:00,10.000 - 44.000,Quận 1,10000,44000,27000.0
66,Gà Rán & Burger McDonald's Nguyen Hue,"123 - 125 Nguyễn Huệ, P. Bến Nghé, Quận 1, TP. HCM",00:00 - 00:00,25.000 - 80.000,Quận 1,25000,80000,52500.0
67,Fruit Crush - Trái Cây Tươi & Ăn Vặt - Nguyễn Thị Minh Khai,"25/5 Nguyễn Thị Minh Khai, P. Bến Nghé, Quận 1, TP. HCM",00:00 - 00:00,19.000 - 79.000,Quận 1,19000,79000,49000.0
68,Thành Đạt - Hủ Tiếu Nam Vang - Phạm Ngũ Lão,"239 Phạm Ngũ Lão, P. Phạm Ngũ Lão, Quận 1, TP. HCM",00:00 - 23:59,35.000 - 50.000,Quận 1,35000,50000,42500.0
69,Gà Rán KFC - Lê Lai,"78 Lê Lai, P. Phạm Ngũ Lão, Quận 1, TP. HCM",00:00 - 00:00,30.000 - 88.000,Quận 1,30000,88000,59000.0
70,Little Bodhi Tree Saigon - Nhà Hàng Chay,"185/16 Phạm Ngũ Lão, P. Phạm Ngũ Lão, Quận 1, TP. HCM",00:00 - 00:00,400.000 - 700.000,Quận 1,400000,700000,550000.0
71,Vịt Quay Huỳnh Ký - Cầu Bông,"2 Bis Trần Quang Khải, Quận 1, TP. HCM",06:00 - 20:45,100.000 - 220.000,Quận 1,100000,220000,160000.0
72,"Quán Bà Ba - Hủ Tiếu, Mỳ & Bánh Mì Bò Kho","275D/5 Phạm Ngũ Lão, Quận 1, TP. HCM",00:00 - 00:00,40.000 - 40.000,Quận 1,40000,40000,40000.0
73,Miến Cua 94 - Chính Gốc,"94 Đinh Tiên Hoàng, P. Đa Kao, Quận 1, TP. HCM",00:00 - 00:00,50.000 - 110.000,Quận 1,50000,110000,80000.0
74,Bún Bò Hoàng Kim - Bò Kho Bánh Mì & Hủ Tiếu Bò Kho - Tôn Thất Đạm,"119 Tôn Thất Đạm, P. Bến Nghé, Quận 1, TP. HCM",06:30 - 21:15,30.000 - 45.000,Quận 1,30000,45000,37500.0
75,CoCo Ichibanya - Lý Tự Trọng,"13 Lý Tự Trọng, P. Bến Nghé, Quận 1, TP. HCM",00:00 - 00:00,48.000 - 153.000,Quận 1,48000,153000,100500.0
76,"Bánh Bao, Há Cảo & Xíu Mại - Đề Thám","57A Đề Thám, P. Cô Giang, Quận 1, TP. HCM",00:00 - 00:00,10.000 - 30.000,Quận 1,10000,30000,20000.0
77,Cô Thảo Tôm Cá - Cá Hồi Ngâm Tương - Trần Đình Xu,"42/2 Trần Đình Xu, P. Cô Giang, Quận 1, TP. HCM",00:00 - 00:00,0 - 0,Quận 1,0,0,0.0
78,Phở 24 - Nguyễn Văn Chiêm,"9 Nguyễn Văn Chiêm, P. Bến Nghé, Quận 1, TP. HCM",06:00 - 21:45,20.000 - 30.000,Quận 1,20000,30000,25000.0
79,Ăn Vặt RIO - Shop Online,"95/34 Lê Thị Riêng, P. Bến Thành, Quận 1, TP. HCM",00:00 - 00:00,80.000 - 300.000,Quận 1,80000,300000,190000.0
80,Bún Riêu & Canh Bún - Cống Quỳnh,"B1-02 Chung Cư 189B, Cống Quỳnh, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",00:00 - 00:00,20.000 - 60.000,Quận 1,20000,60000,40000.0
81,Cô Bông - Bún Mắm - Chợ Tân Định,"Đối Diện 125 Nguyễn Hữu Cầu, P. Tân Định, Quận 1, TP. HCM",05:30 - 17:00,35.000 - 45.000,Quận 1,35000,45000,40000.0
82,Cơm Tấm Thuận Kiều - Tôn Thất Tùng,"26 Tôn Thất Tùng, P. Bến Thành, Quận 1, TP. HCM",07:00 - 20:20,25.000 - 275.000,Quận 1,25000,275000,150000.0
83,Bún Mọc Thanh Mai - Chợ Bến Thành,"14 Trương Định, P. Bến Thành, Quận 1, TP. HCM",05:30 - 14:15,40.000 - 66.000,Quận 1,40000,66000,53000.0
84,Bún Chả Hà Nội 1982 - Đinh Tiên Hoàng,"18 Đinh Tiên Hoàng, P. Đa Kao, Quận 1, TP. HCM",00:00 - 00:00,35.000 - 50.000,Quận 1,35000,50000,42500.0
85,Bánh Mì A Vĩ - Nguyễn Cảnh Chân,"TK44/2 Nguyễn Cảnh Chân, P. Cầu Kho, Quận 1, TP. HCM",05:30 - 14:00 | 16:00 - 23:00,4.000 - 45.000,Quận 1,4000,45000,24500.0
86,RikaDon - Cơm Thịt Nướng Nhật Bản - Trần Khánh Dư,"53/46 Trần Khánh Dư, P. Tân Định, Quận 1, TP. HCM",00:00 - 00:00,0 - 0,Quận 1,0,0,0.0
87,Miến Phở Gà 43 Mạc Đĩnh Chi - Trần Cao Vân,"Số 9 Trần Cao Vân, P. Đa Kao, Quận 1, TP. HCM",05:40 - 20:38,50.000 - 110.000,Quận 1,50000,110000,80000.0
88,Milo Dầm - Chung Cư 42,"Tầng Trệt, Tầng Trệt Chung Cư 42, 42 Tôn Thất Hiệp, P. Bến Nghé, Quận 1, TP. HCM",00:00 - 00:00,20.000 - 30.000,Quận 1,20000,30000,25000.0
89,Hủ Tiếu Nam Vang & Mì Bò Viên A Sìn,"212/325A Nguyễn Văn Nguyễn, P. Tân Định, Quận 1, TP. HCM",00:00 - 00:00,45.000 - 86.000,Quận 1,45000,86000,65500.0
90,Hảo Ký Mì Gia - Hủ Tiếu Xào - Đinh Công tráng,"67H/1 Đinh Công Tráng. P. Tân Định, Quận 1, TP. HCM",07:00 - 22:30,0 - 0,Quận 1,0,0,0.0
91,Kibi - Bánh Gạo Lắc - Cô Giang,"50 Cô Giang, P. Cô Giang, Quận 1, TP. HCM",00:00 - 00:00,15.000 - 25.000,Quận 1,15000,25000,20000.0
92,Cơm Niêu Thiên Lý - Nguyễn Đình Chiểu,"16 Nguyễn Đình Chiểu, P. Đa Kao, Quận 1, TP. HCM",00:00 - 00:00,20.000 - 100.000,Quận 1,20000,100000,60000.0
93,Miss Đác - Chè Không Ngọt - Hoàng Sa,"111B Hoàng Sa, P. Đa Kao, Quận 1, TP. HCM",00:00 - 00:00,0 - 20.000,Quận 1,0,20000,10000.0
94,Hai Thuận - Bún Cay Thái & Mì Trộn - Đề Thám,"155 Đề Thám, P. Cô Giang, Quận 1, TP. HCM",00:00 - 00:00,30.000 - 60.000,Quận 1,30000,60000,45000.0
95,Bánh Tráng Muối NPT Food - Nguyễn Công Trứ,"372 Nguyễn Công Trứ, P. Cầu Ông Lãnh, Quận 1, TP. HCM",00:00 - 00:00,10.000 - 100.000,Quận 1,10000,100000,55000.0
96,"Cơm Gà, Mẹt Gà, Gỏi - Gà Ta Ngon Số 1 – 226 Đinh Tiên Hoàng","226 Đinh Tiên Hoàng, P. Đa Kao, Quận 1, TP. HCM",00:00 - 00:00,20.000 - 200.000,Quận 1,20000,200000,110000.0
97,Chewy Chewy - Cafe & Bánh - Trần Hưng Đạo,"34 Trần Hưng Đạo, P. Phạm Ngũ Lão, Quận 1, TP. HCM",00:00 - 00:00,20.000 - 60.000,Quận 1,20000,60000,40000.0
98,MATSURI - Japanese Restaurant - Pasteur,"180A Pasteur, P. Bến Thành, Quận 1, TP. HCM",00:00 - 00:00,0 - 0,Quận 1,0,0,0.0
99,Sukiya - Cơm Bò Hầm & Mì Ramen - Thái Văn Lung,"10Ab Thái Văn Lung, P. Bến Nghé, Quận 1, TP. HCM",00:00 - 00:00,15.000 - 99.000,Quận 1,15000,99000,57000.0
100,Jjang! - Cơm Trộn Hàn Quốc - Nguyễn Thái Bình,"128 Nguyễn Thái Bình, P. Nguyễn Thái Bình, Quận 1, TP. HCM",00:00 - 23:59,10.000 - 100.000,Quận 1,10000,100000,55000.0
101,Dì Năm Sa Đéc - Hủ Tiếu (Hủ Tíu) & Bánh Tằm,"166 Bùi Thị Xuân, P. Phạm Ngũ Lão, Quận 1, TP. HCM",06:00 - 22:00,10.000 - 45.000,Quận 1,10000,45000,27500.0
102,Nao Ăn Uống Ngay Nào - Trần Hưng Đạo,"Hẻm 391 TK 43/2 Trần Hưng Đạo, P. Cầu Kho, Quận 1, TP. HCM",00:00 - 00:00,16.000 - 68.000,Quận 1,16000,68000,42000.0
103,Miến Lươn Thanh Thảo - Lý Tự Trọng,"176/13 Lý Tự Trọng, P. Bến Thành, Quận 1, TP. HCM",05:30 - 12:45,50.000 - 132.000,Quận 1,50000,132000,91000.0
104,Quán Chay Sala,"71C Nguyễn Thị Minh Khai, P. Bến Thành, Quận 1, TP. HCM",06:00 - 20:55,17.000 - 45.000,Quận 1,17000,45000,31000.0
105,Bánh Mì Anh Phán - Bánh Mì Gà & Thịt Nguội,"145 Cống Quỳnh, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",05:35 - 22:30,10.000 - 20.000,Quận 1,10000,20000,15000.0
106,"Tuấn Phương - Mì Xào, Nui Xào & Ăn Vặt","162/13 Bùi Thị Xuân, P. Phạm Ngũ Lão, Quận 1, TP. HCM",00:00 - 00:00,5.000 - 35.000,Quận 1,5000,35000,20000.0
107,Vựa Cơm Sài Gòn,"6/3 Nguyễn Thị Minh Khai, P. Đa Kao, Quận 1, TP. HCM",00:00 - 00:00,18.000 - 50.000,Quận 1,18000,50000,34000.0
108,Bánh Mì Que Pháp - Bùi Viện,"114 Bùi Viện, P. Phạm Ngũ Lão, Quận 1, TP. HCM",06:30 - 16:30,10.000 - 17.000,Quận 1,10000,17000,13500.0
109,Cơm - Mì Trộn MU Summer,"214/B17 Nguyễn Trãi, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",00:00 - 00:00,7.000 - 66.000,Quận 1,7000,66000,36500.0
110,Sơn Nga Phở Gà - Nguyễn Đình Chiểu,"48 Nguyễn Đình Chiểu, P. Đa Kao, Quận 1, TP. HCM",05:45 - 20:00,30.000 - 55.000,Quận 1,30000,55000,42500.0
111,Gà Rán & Burger McDonald's Ben Thanh,"2-2A Trần Hưng Đạo, P. Bến Thành, Quận 1, TP. HCM",00:00 - 23:59,50.000 - 200.000,Quận 1,50000,200000,125000.0
112,Anh Tùng - Cá Viên Chiên Nước Mắm,"36 Nguyễn Thị Nghĩa, P. Bến Thành, Quận 1, TP. HCM",00:00 - 00:00,19.000 - 340.000,Quận 1,19000,340000,179500.0
113,Gimbap Korean Food - Món ăn Hàn Quốc,"43/3 Nguyễn Thái Học, P. Cầu Ông Lãnh, Quận 1, TP. HCM",00:00 - 00:00,30.000 - 100.000,Quận 1,30000,100000,65000.0
114,Bà Bành Bakery - Bông Lan Trứng Muối - Sương Nguyệt Ánh,"1 Sương Nguyệt Ánh, P. Bến Thành, Quận 1, TP. HCM",00:00 - 00:00,0 - 0,Quận 1,0,0,0.0
115,Geylang Lor 9 - Cháo Ếch Singapore - Đông Du,"35 Đông Du, P. Bến Nghé, Quận 1, TP. HCM",00:00 - 00:00,200.000 - 300.000,Quận 1,200000,300000,250000.0
116,Cháo Trắng Hột Vịt Muối - Trần Khắc Chân,"10 Trần Khắc Chân, P. Tân Định, Quận 1, TP. HCM",00:00 - 00:00,10.000 - 20.000,Quận 1,10000,20000,15000.0
117,Cơm Chiên Chảo Lửa - Gà Xối Mỡ - Nguyễn Thái Bình,"128 Nguyễn Thái Bình, P. Nguyễn Thái Bình, Quận 1, TP. HCM",00:00 - 23:59,10.000 - 100.000,Quận 1,10000,100000,55000.0
118,Tré Trộn Cô Ri - Đông Du,"58 Đông Du, P. Bến Thành, Quận 1, TP. HCM",00:00 - 00:00,12.000 - 100.000,Quận 1,12000,100000,56000.0
119,"Gotcha - Burger, Kebab & Taco","267 Đề Thám, P. Phạm Ngũ Lão, Quận 1, TP. HCM",00:00 - 23:59,15.000 - 90.000,Quận 1,15000,90000,52500.0
120,Cháo Ếch Việt Sing - Nguyễn Cảnh Chân,"Tk 21/10 Nguyễn Cảnh Chân, P. Cầu Kho, Quận 1, TP. HCM",00:00 - 23:59,60.000 - 60.000,Quận 1,60000,60000,60000.0
121,Bánh Mì & Sữa Bắp 122 - Bùi Thị Xuân,"122E Bùi Thị Xuân, P. Phạm Ngũ Lão, Quận 1, TP. HCM",00:00 - 01:00 | 05:30 - 23:59,20.000 - 33.000,Quận 1,20000,33000,26500.0
122,Twelve - Cơm Gà Hải Nam Singapore - Bùi Viện,"207 Bùi Viện, P. Phạm Ngũ Lão, Quận 1, TP. HCM",00:00 - 00:00,20.000 - 500.000,Quận 1,20000,500000,260000.0
123,Cháo Sườn Cô Giang - Đinh Tiên Hoàng,"14B Đinh Tiên Hoàng, P. Đa Kao, Quận 1, TP. HCM",00:00 - 23:59,15.000 - 29.000,Quận 1,15000,29000,22000.0
124,Tiến Hải Quán - Bún Đậu Mắm Tôm Hà Nội - Nguyễn Thị Nghĩa,"8 Nguyễn Thị Nghĩa, P. Bến Thành, Quận 1, TP. HCM",00:00 - 00:00,12.000 - 59.000,Quận 1,12000,59000,35500.0
125,San Fu Lou - Ẩm Thực Quảng Đông - Lê Lai,"Tầng Trệt, AB Tower, 76A Lê Lai, P. Bến Thành, Quận 1, TP. HCM",00:00 - 00:00,30.000 - 190.000,Quận 1,30000,190000,110000.0
126,Cháo Ếch Singapore Lion King Dom - Cống Quỳnh,"191/A22 Cống Quỳnh, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",00:00 - 00:00,50.000 - 80.000,Quận 1,50000,80000,65000.0
127,Hủ Tiếu Nam Vang & Mì Bò Viên PugFoodNow,"212/325 Nguyễn Văn Nguyễn, P. Tân Định, Quận 1, TP. HCM",00:00 - 00:00,35.000 - 35.000,Quận 1,35000,35000,35000.0
128,Grand Castella - Bánh Bông Lan Đài Loan - Hàm Nghi,"82-84 Hàm Nghi, P. Bến Nghé, Quận 1, TP. HCM",00:00 - 23:59,100.000 - 150.000,Quận 1,100000,150000,125000.0
129,Quán 185 - Cháo Trắng & Cơm Bình Dân - Nguyễn Trãi,"197 Nguyễn Trãi, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",00:01 - 23:59,20.000 - 50.000,Quận 1,20000,50000,35000.0
